HVMID,cn_name,pinyin_name,en_name,latin_name,Properties,Meridians,UsePart,Function,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,HERB_id,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id
HVM0015,阿魏,A WEI,Asafetida Giantfennel Resin,Ferula assafoetida,Warm; Pungent; Bitter,Spleen; Stomach; Liver,balsam,"To transform concretion and disperse accumulation, kill worms, interrupt malaria.","Concretion and conglomeration, lump glomus, worm accumulation, meat-type food accumulation, cold pain in heart and abdomen, malaria, dysentery.",,,Food digestion,消食,HERB000029,,4866.0,,1.0
HVM0016,阿育魏实,A YU WEI SHI,Fructus Trachyspermi ammi,,,,,,,,,,,HERB000032,,2977.0,,
HVM0017,矮大黄,AI DA HUANG,Low Rhubarb,Rheum nanum,,,,,,,,,,HERB000035,,1807.0,,
HVM0018,矮地茶,AI DI CHA,Japanese Ardisia Herb,Ardisiae japonicae,Mild; Pungent; Bitter,Lung; Liver,,1. To eliminate phlegm and relieving cough.2. To promote diuresis to deprive dampness. 3. To activate blood circulation and stop bleeding.,"1. Bergenin, an active comonent, is an expectorant. 2. Its volatile oil or flavone can relieve bronchospasm induced by histamine in vitro. 3. Its decoction inhibits the growth of Pneumococcus, Staphylococcus aureus and influenza virus in vitro.",,"1. Bergenin, an active comonent, is an expectorant.  2. Its volatile oil or flavone can relieve bronchospasm induced by histamine in vitro. 3. Its decoction inhibits the growth of Pneumococcus, Staphylococcus aureus and influenza virus in vitro. ",Antitussive Antiasthmetics,止咳平喘药,HERB000036,SMHB00001,7629.0,1.0,2.0
HVM0019,埃及大翅蓟,AI JI DA CHI JI,Egyptian Cottonthistle,Onopordum alexandrinum,,,,,,,,,,HERB000038,,3409.0,,
HVM0020,埃及假虎刺,AI JI JIA HU CI,Egyptian Carissa,Carissa edulis,,,,,,,,,,HERB000039,,7495.0,,
HVM0021,埃及千里光,AI JI QIAN LI GUANG,Egyptian Groundsel,Senecio aegypticus,,,,,,,,,,HERB000040,,1972.0,,
HVM0022,艾菊,AI JU,Tansy,Chrysanthemum vulgare,,,,,,,,,,HERB000046,,1506.0,,
HVM0023,埃利斯多孔菌,AI LI SI DUO KONG JUN,Ellisi Porous Agaric,Polyporus ellisii,,,,,,,,,,HERB000048,,7592.0,,
HVM0024,艾麻黄,AI MA HUANG,Small Ephedra,Ephedra minuta,,,herbaceous twigs,See Ephedra sinica.,See Ephedra sinica.,,,,,HERB000049,,2810.0,,
HVM0025,艾纳香,AI NA XIANG,Balsamiferous Blumea,Blumea balsamifera,,,Branchlet-leaf,"To dispel wind and eliminate damp, warm center and check diarrhea, quicken blood and resolve toxin.","Wind-cold common cold, head wind headache, wind-damp impediment pain, cold-damp diarrhea and dysentery, taeniasis, poisonous snake bite, painful wound from knocks and falls, lichen sore.",,,,,HERB000050,,6494.0,,
HVM0026,艾实,AI SHI,Fructus Artemiiae argyi,,,,,,,,,,,HERB000057,,6848.0,,
HVM0027,矮桐子,AI TONG ZI,Farges Glorybower,Clerodendron trichotomum var. fargesii,,,,,,,,,,HERB000062,,5820.0,,
HVM0028,矮向日葵,AI XIANG RI KUI,Dwarf Sunflower,Helianthus pumilus,,,,,,,,,,HERB000065,,5943.0,,
HVM0029,艾叶,AI YE,leaf of Argy Wormwood,Folium Artemisiae Argyi,Warm; Pungent; Bitter,Spleen; Liver; Kidney,leaf,1. To warm the channels and stop bleeding. 2. To dispel cold and stop pain,"Cold pain in abdomen, menstrual disorder due to cold, infertility due to uterus cold, blood ejection, spontaneous external bleeding, flooding and spotting, fetal spotting, itchy skin.",,,Channel-Warming Hemostatic,温经止血药,HERB000066,SMHB00002,6218.0,2.0,3.0
HVM0030,矮紫金牛,AI ZI JIN NIU,Low Ardisia,Ardisia humilis,,,,,,,,,,HERB000068,,7856.0,,
HVM0031,安哥拉八角枫,AN GE LA BA JIAO FENG,Angola Alangium,Alangium lamarckii,,,,,,,,,,HERB000071,,4936.0,,
HVM0032,安哥拉八角枫,AN GE LA BAJ IAO FENG,,,,,,,,,,,,HERB000072,,4580.0,,
HVM0033,安哥拉紫檀,AN GE LA ZI TAN,,,,,,,,,,,,HERB000074,,2600.0,,
HVM0034,安徽贝母,AN HUI BEI MU,Anhui Fritillary,Fritillaria anhuiensis,,,,,,,,,,HERB000080,,7222.0,,
HVM0035,氨基比林,AN JI BI LIN,Aminopyrine,Aminopyrinum,,,,,,,,,,HERB000084,,7424.0,,4.0
HVM0036,龙舌兰,AN LU LONG SHE LAN,Peyote,Lophophora williamsii,,,,,,,,,,HERB000085,,1922.0,,
HVM0037,安息香,AN XI XIANG,Benzoin,Benzoinum,Mild; Pungent; Bitter,Spleen; Heart,balsam,To restore consciousness. To activate the flow of qi and blood. To relieve pain.,"Sudden stroke and fulminant reversal, pain in heart and abdomen, postpartum blood dizziness, child fright epilepsy, wind impediment and lumbago.",,,Resuscitative Stimulant; Resuscitative Medicinal,开窍药,HERB000090,SMHB00003,5347.0,3.0,6.0
HVM0038,按叶,AN YE,Eucalyptus Leaf,Eucalyptus globulus,,,leaf,"To soothe wind and resolve exterior, clear heat and resolve toxin, rectify qi and transform phlegm, kill worms and relieve itch.","Common cold, ardent fever with headache, lung heat cough asthma, pertussis, diarrhea, dysentery, ancylostomiasis, filariasis, wind-damp pain, swelling toxin of welling abscess and sore, eczema, scab and lichen, burns and scalds, bleeding due to external injury.",,"1. Its decoction is a broad-spectrum bacteriostatic. 2. Stimulating the mucosa of respiratory tract directly, promoting secretion and expectoration. 3. Its volatile oil kills trichomonas vaginalis in vitro. 4. Its volatile oil is also an analgesic.",For relieving exterior syndrome,解表,HERB000091,,4716.0,,191.0
HVM0039,暗紫贝母,AN ZI BEI MU,Unibract Fritillary,Fritillaria unibracteata,,,bulb,See Fritillaria cirrhosa .,See Fritillaria cirrhosa .,,,,,HERB000093,,2707.0,,
HVM0040,澳大利亚红豆杉,AO DA LI YA HONG DOU SHAN,Australia Yew,Austrotaxus spicata,,,,,,,,,,HERB000096,,2190.0,,
HVM0041,奥地利鳞毛蕨,AO DI LI LIN MAO JUE,Broad Buckler-fern,Dryopteris austriaca,,,rhizome,To expel worms.,Taeniasis.,,,,,HERB000101,,4991.0,,
HVM0042,凹脉丁公藤,AO MAI DING GONG TENG,Elliptical Erycibe,Erycibe elliptilimba,,,root and stem,To dispel wind and relieve pain.,,,,,,HERB000107,,7191.0,,
HVM0043,凹舌兰,AO SHE LAN,Frog Orchid,Coeloglossum viride [Syn. Coeloglossum viride var. bracteatum],,,tuber,See Gymnadenia conopsea .,See Gymnadenia conopsea.,,,,,HERB000109,,3161.0,,
HVM0044,凹叶厚朴,AO YE HOU PO,Twolobed Officinal Mangolia,Magnolia biloba,,,bark,See Magnolia officinalis .,See Magnolia officinalis.,,,,,HERB000117,,2171.0,,
HVM0045,凹叶瑞香,AO YE RUI XIANG,Retuseleaf Daphne,Daphne retusa,,,stem bark and root cortex,See Daphne tangutica.,See Daphne tangutica.,,,,,HERB000118,,944.0,,
HVM0046,凹叶野百合,AO YE YE BAI HE,Crotalaria retusa Linn,,,,,,,,,,,HERB000119,,1137.0,,
HVM0047,澳洲百脉根,AO ZHOU BAI MAI GEN,Austral Bird’s Foot Trefoil,Lotus australis,,,,,,,,,,HERB000120,,6224.0,,
HVM0048,澳洲坚果,AO ZHOU JIAN GUO,Queensland Nut,Macadamia ternifolia,,,,,,,,,,HERB000121,,3384.0,,
HVM0049,澳洲茄,AO ZHOU QIE,Australian Nightshade,Solanum aviculare [Syn. Solanum laciniatum],,,,,,,,,,HERB000122,,8198.0,,
HVM0050,澳洲屎豆,AO ZHU SHI DOU,Yellow-flowering Pea,Crotalaria retusa,,,,,,,,,,HERB000124,,3813.0,,
HVM0051,巴旦杏仁,BA DAN XING REN,Amygdalate Apricot Seed,Prunus amygdalus,,,seed,"To moisten lung and suppress cough, transform phlegm and precipitate qi.","Vacuity taxation cough, fullness and oppression in heart and abdomen.",,,,,HERB000128,,5150.0,,
HVM0052,巴豆,BA DOU,Croton Fruit,Fructus Crotonis,Hot; Pungent,Large Intestine; Stomach,dried seed,1. To drain accumulated cold downward; 2. To transform water and reduce edema; 3. To resolve phlegm and benefit throat,"Distention fullness and sudden pain in chest and a bdomen, fecal stoppage, diarrhea and dysentery, edema and enlarged abdomen, phlegm-rheum asthma fullness, throat wind, throat impediment, concretion and conglomeration, welling abscess and flat abscess, malign sore and scab lichen.",Extremely Toxic,,Offensive Purgative Medicinal,攻下药,HERB000129,SMHB00006,4179.0,6.0,7.0
HVM0053,巴伐利亚龙胆,BA FA LI YA LONG DAN,Bavarian Gentian,Gentiana bavarica,,,,,,,,,,HERB000131,,5282.0,,
HVM0054,白鲜皮,BAI XIAN PI,Densefruit Pittany Root-bark Equivalent plant: Dictamnus angustifolius,Dictamnus dasycarpus,,,root cortex,"To clear heat and dry damp, dispel wind and relieve itch, resolve toxin.","Dermatitis, psoriasis, icterohepatitis, damp-heat sore and papules, profuse pus, yellow-water sore, damp ulceration on skin, itchy skin, damp-heat jaundice, damp-heat impediment.",,,,,HERB000132,SMHB00025,2633.0,,
HVM0055,巴戟天,BA JI TIAN,Morindae Officilis Radix,,,,root,,"Neurasthenia, impotence and emission, cold pain in abdomen, urinary incontinence, vacuity cold of uterus, wind-cold-damp impediment, aching in lumbus and knees.",,,Yang Reinforcing Drugs,补阳药,HERB000134,SMHB00007,6802.0,7.0,
HVM0056,八角枫,BA JIAO FENG,Chinese Alangium Equivalent plant: Alangium platanifolium,Alangium chinense,,,root,"To dispel wind and eliminate damp, soothe sinews and quicken network vessels, dissipate stasis and relieve pain.","Wind-damp impediment pain, rheumatic arthritis, numbness in limbs, knocks and falls, adjuvant in anesthesia.",,,,,HERB000135,,4403.0,,
HVM0057,八角黄皮,BA JIAO HUANG PI,Octet Wampee,Clausena anisata,,,,,,,,,,HERB000136,,3508.0,,
HVM0058,八角茴香,BA JIAO HUI XIANG,Chinese Star Anise,Fructus Anisi Stellati,Warm; Pungent,Spleen; Stomach; Liver; Kidney,,To dispel cold to regulate the flow of qi and to relieve pain.,"Treatment of abdominal colic, lumbago due to deficiency of the kidney, vomiting and eqigastric pain due to cold of the stomach.",,,Warming Interior Drugs,温里药,HERB000137,SMHB00004,4150.0,4.0,10.0
HVM0059,八角茴香油,BA JIAO HUI XIANG YOU,Oleum Anisi Stellati,,,,,,,,,,,HERB000138,,1256.0,,
HVM0060,八角莲,BA JIAO LIAN,Dysosmae Verspiellis Rhixoma Et Radix,,,,,,,,,Antipyretic Detoxicate Drugs,清热解毒药,HERB000139,SMHB00005,,5.0,
HVM0061,巴拉圭茶,BA LA GUI CHA,Paraguay Tea,Ilex paraguariensis,,,leaf,"To clear heat and resolve toxin, eliminate inflammation, suppress cough and dispel phlegm, promote contraction, disinhibit urine, free stool, induce sweat[5509].","Rheumatis, scurvy, heart disease, stomach disease, diabetes[5509].",,,,,HERB000140,,6555.0,,
HVM0062,菝葜,BA QIA,Smilax Chi,,,,,,"Wind-damp impediment pain, strangury-turbidity, vaginal discharge, dysentery, diarrhea, swelling toxin of welling abscess and sore, intractable lichen, burns and scalds.",,Inhibiting the growth of Staphylococcus aureus and Flexner's bacillus. ,Wind-Dampnessdispelling And Colddispersing Medicinal,祛风湿散寒药,HERB000143,SMHB00008,1626.0,8.0,898.0
HVM0063,霸王鞭,BA WANG BIAN,Royle Euphorbia Latex,Euphorbia royleana,,,stem-leaf or white juice in stem,"To dispel wind and resolve toxin, kill worms and relieve itch.","Sore toxin, skin lichen, edema.",,,,,HERB000144,,1836.0,,
HVM0064,巴西千里光,BA XI QIAN LI GUANG,Brazilian Groundsel,Senecio brasiliensis,,,,,,,,,,HERB000149,,7390.0,,
HVM0065,巴西香无患子,BA XI XIANG WU HUAN ZI,Guarana,Paullinia cupana,,,,,,,,,,HERB000152,,5093.0,,
HVM0066,巴夏嘎,BA XIA GA,,,,,,,,,,,,HERB000155,,2117.0,,11.0
HVM0067,八仙草,BA XIAN CAO,Catchweed Bedstraw,Galium aparine,,,herb,"To clear damp heat, dissipate stasis, disperse swelling, resolve toxin.","Strangury-turbidity, hematuria, knocks and falls, intestinal welling abscess, swollen boil, otitis media.",,,,,HERB000156,,1055.0,,
HVM0068,八仙花,BA XIAN HUA,Largeleaf Hydrangea,Hydrangea macrophylla,,,"root, leaf and flower",To interrupt malaria.,"Malaria, fright palpitation due to heart heat, vexation and agitation.",,,,,HERB000157,,5906.0,,
HVM0069,八月扎,BA YUE ZHA,fruit of Fiveleaf Akebia,Fructus Akebiae,Cold; Bitter,,Akebia quinata (Thunb. ) Decne.;Akebia trifoliata (Thunb.) Koidz.;Akebia trifoliata (Thunb.) Koidz. var. australis (Diels) Rehd.,"Treatment of epigastric and hypochondriac distension and pain, amenorrhea, dysmenorrhea, oliguria, snake and insect-bite.","Treatment of epigastric and hypochondriac distension and pain, amenorrhea, dysmenorrhea, oliguria, snake and insect-bite.",,,Regulation of qi,理气,HERB000158,SMHB00471,6765.0,,12.0
HVM0070,白八角莲,BAI BA JIAO LIAN,White Dysosma,Dysosma majorensis,,,root and rhizome,"To enrich yin and supplement kidney, clear lung and moisten dryness, resolve toxin and disperse swelling.","Taxation damage and sinew bone pain, impotence, stomachache, innominate toxin swelling, knife wound.",,,,,HERB000159,,7861.0,,
HVM0071,白扁豆,BAI BIAN DOU,White Hyacinth Bean,Semen Lablab Album,Minor Warm; Sweet,Spleen; Stomach,,"To invigorate the spleen and remove damp, paticularly the summer damp.Semen Lablab Album (stir-fried) To invigorate the spleen and remove damp.","Treatment of weakness of the spleen and stomach with loss of appetite and loose bowels, excessive leukorrhea, vomiting, diarrhea, distress in the chest and distension in the abdomen caused by summer-damp.Semen Lablab Album (stir-fried) Diarrhea and excess",,,Qi Reinforcing Drugs,补气药,HERB000161,SMHB00009,2519.0,9.0,13.0
HVM0072,百部,BAI BU,Root of Japanese Stemo,Radix Stemoe,Minor Warm; Sweet; Bitter,Lung,root,1. To moisten the lungs and stop cough; 2. To kill lice and parasites,"Wind-cold cough, pertussis, tuberculosis, senile cough and asthma, ascariasis, oxyuria disease, scab and lichen, eczema, cootie.",,"1. Relieving cough in common cold. Stemona root (Baibu) is used with Schizonepeta (Jingjie), Platycodon root (Jiegeng) and Aster root (Ziwan). 2. Relieving whooping cough. Stemona root (Baibu) is used with Glehnia root (Beishashen), Tendrilled fritillary ",Antitussive Antiasthmetics,止咳平喘药,HERB000162,SMHB00028,3454.0,28.0,14.0
HVM0073,白鲳,BAI CHANG,Drug Sweetflag,Acorus calamus,,,rhizome,"To transform phlegm and open orifices, dispel damp and fortify stomach, kill worms and relieve itch.","Stupor due to phlegm reversal, wind stroke, epilepsy, fright palpitation and amnesia, tinnitus and deafness, food accumulation abdominal pain, diarrhea and dysentery, wind-damp pain, eczema, scab sore.",,,,,HERB000164,,5314.0,,
HVM0074,白刺,BAI CI,Nitraria,Nitraria tangutorum,,,fruit,"To fortify spleen and assisting movement, promote lactation, quiet spirit.","Reduced food intake due to spleen vacuity, indigestion, scant breast milk, neurasthenia.",,,,,HERB000166,,7232.0,,
HVM0075,白刺花,BAI CI HUA,Vetchleaf Sophora,Sophora viciifolia,,,root,"To clear heat and disinhibit throat, cool blood and disperse swelling.","Swelling pain in throat, cough, hepatitis, dysentery, strangury syndrome, edema, hematuria, nosebleed(epistaxis), hematochezia.",,,,,HERB000168,,7694.0,,
HVM0076,白刺花叶,BAI CI HUA YE,Folium Sophorae davidi,,,,,,,,,,,HERB000170,,1816.0,,
HVM0077,白刺花子,BAI CI HUA ZI,Vetchleaf Sophora Seed,Sophora viciifolia,,,fruit,"To clear heat and transform damp, disperse accumulation and relieve pain.","Food accumulation, stomachache, abdomin al pain.",,,,,HERB000171,,5064.0,,
HVM0078,白葱,BAI CONG,,,,,,,,,,,,HERB000172,,2125.0,,
HVM0079,白豆蔻,BAI DOU KOU,Round Cardamom,Amomum kravanh [Syn. Amomum cardamomum],Warm; Pungent,Lung; Spleen; Stomach,seed,"To transform damp and move qi , warm center and check vomiting, increase appetite and disperse food.","Spleen-stomach qi stagnation due to damp obstructing middle-jiao, vomiting with stomach cold, vomiting of milk in infants with stomach cold.",,"1. Promoting the secretion of gastric juice and intestinal peristalsis, and inhibiting the abnormal fermentation in intestines. 2. Inhibiting Bacillus dysenteriae.",For desolving dampness by flavors,芳香化湿,HERB000174,,5741.0,,17.0
HVM0080,白鹅膏,BAI E GAO,Goose Fat,Anser cygnoides domestica,,,fat of goose,"To moisten skin, disperse swollen welling abscess.","Cracking, deafness, otitis media, dysphagia-occlusion and stomach reflux, drug poisoning, swollen welling abscess, scab and lichen.",,,,,HERB000176,,1131.0,,
HVM0081,白饭豆,BAI FAN DOU,Kidney Bean,Phaseolus vulgaris,,,seed,"To enrich and nourish, resolve heat, disinhibit urine, disperse swelling.","Summerheat-heat vexation and thirst, edema, beriberi.",,,,,HERB000178,,2372.0,,
HVM0082,白茯苓,BAI FU LING,white Indian Bread,Poriae Alba,Mild; Sweet; Neutral,Lung; Spleen; Heart,Poria cocos (Schw. ) Wolf,"Treatment of edema with oliguria, dizziness and palpitation caused by retained fluid, diminished function of the spleen marked by anorexia, loose stools or diarrhea, restlessness and insomnia.","Treatment of edema with oliguria, dizziness and palpitation caused by retained fluid, diminished function of the spleen marked by anorexia, loose stools or diarrhea, restlessness and insomnia.",,,For promoting diuresis and penetrating dampness,利水渗湿,HERB000181,,4608.0,,18.0
HVM0083,白附子,BAI FU ZI,rhizome of Giant Typhonium,Rhizoma Typhonii,Warm; Pungent; Sweet,Stomach; Liver,,"To dispel wind-phlegm, to check convulsions, and to counteract toxicity, promote subsidence of modulation and relieve pain.","Treatment of stroke with gurgling in the throat, deviation of the eye and the mouth, and impairment of speech, upward invasion of phlegm causing headache accompanied with dizziness, heaviness of the body, restlessness, fidgetness, nausea and cold extremit",Toxic,,Phlegresolving Medicine,化痰药,HERB000182,SMHB00010,3658.0,10.0,19.0
HVM0084,柏根白皮,BAI GEN BAI PI,Cortex Platycladi orientalis,,,,,,,,,,,HERB000183,,1082.0,,
HVM0085,白钩藤,BAI GOU TENG,White Gambirplant,Uncaria sessilifructus [Syn. Nauclea sessilifructus ],,,,,,,,,,HERB000184,,4805.0,,
HVM0086,白鬼笔,BAI GUI BI,"Stinking Polecat, Wood Witch",Phallus impudicus,,,sporocarp,"To dispel wind and eliminate damp, quicken blood and relieve pain.",Wind-damp pain.,,,,,HERB000185,,4903.0,,
HVM0087,白果,BAI GUO,Ginkgo seed,Semen Ginkgo,Mild; Sweet; Bitter; Punkery,Lung,nut,1. To strengthen lung qi and soothe asthma; 2. To relieve leukorrhea,"AD syndrome, primary degenerative dementia of Alzheimer disease, multi-infarct dementia, improving cognitive function in elderly dementia patients, stable intermittent claudication, cerebrovascular insufficiency diseases, cough with profuse phlegm, vaginal discharge, enuresis and frequent urination.",Toxic,,Antitussive Antiasthmetics,止咳平喘药,HERB000186,SMHB00011,7069.0,11.0,20.0
HVM0088,白果根,BAI GUO GEN,Ginkgo Root,Ginkgo biloba,,,root,To boost qi and supplement vacuity.,"Emission, enuresis, frequent urination at night, vaginal discharge, stone strangury.",,,,,HERB000187,,2261.0,,
HVM0089,白果叶,BAI GUO YE,Ginkgo Leaf,Ginkgo biloba,sweet; bitter; astringent; neutral,heart; lung,leaf,"To quicken blood and nourish heart, constrain lung and astringe intestines.","Coronary heart disease, angina pectoris, hypercholesterolemia, Parkinson’s disease, peripheral arterial diseases, chest impediment and heart pain, cough of phlegm asthma, diarrhea and dysentery, vaginal discharge, emission, retinal insufficiency syndrome.",,,,,HERB000189,,1670.0,,1099.0
HVM0090,白果紫草,BAI GUO ZI CAO,Common Gromwell,Lithospermum officinale,,,whole herb,To resolve toxin and disperse swelling.,Arthritis.,,,,,HERB000190,,7114.0,,
HVM0091,白蒿,BAI HAO,Sievers Wormwood,Artemisia sieversiana,,,whole herb,"To clear heat and disinhibit damp, cool blood and stanch bleeding.","Wind-cold-damp impediment, jaundice, heat dysentery, scab and lai .",,,,,HERB000191,,4479.0,,
HVM0092,百合,BAI HE,Bulb of Greenish Lily,Bulbus Lilii ,Minor cold; Sweet,Heart,bulb,"To nourish yin and moisten the lung, and to tranquilize the mind.","Yin vacuity enduring cough, phlegm containing blood, fright palpitation and vacuity vexation, insomnia and frequent dreaming, trance.",,,Yin-Tonifying Medicinal,补阴药,HERB000192,SMHB00029,2215.0,29.0,21.0
HVM0093,百合花,BAI HE HUA,Flos Lilii brownii,,,,,,,,,,,HERB000193,,2808.0,,
HVM0094,白鹤灵芝,BAI HE LING ZHI,Bignose Rhiancanthus,Rhinacanthus nasutus,,,branch-leaf,"To clear heat and moisten lung, kill worms and relieve itch.","Taxation cough, scab and lichen, eczema.",,,,,HERB000194,,7081.0,,
HVM0095,百合子,BAI HE ZI,Semen Lilii brownii,,,,,,,,,,,HERB000195,,4919.0,,
HVM0096,白鹤乌头,BAI HOU WU TOU,Whitethroat Monkshood,Aconitum leucostomum,,,,,,,,,,HERB000196,,1126.0,,
HVM0097,白花菜子,BAI HUA CAI ZI,Semen Cleomis,,,,,,"Wind-cold sinew and bone numbness, aching pain in back and shoulder, lumbago, swelling pain due to external injury, bone tuberculosis, hemorrhoids and fistulas.",,,Wind-Dampnessdispelling And Colddispersing Medicinal,祛风湿散寒药,HERB000197,SMHB00012,4888.0,12.0,
HVM0098,白花丹,BAI HUA DAN,Whiteflower Leadword,Plumbago zeylanica,,,whole herb and root,"To dispel wind and eliminate damp, move qi and quicken blood, resolve toxin and disperse swelling.","Wind-damp impediment pain, liver spleen enlargement, amenorrhea due to blood stasis, sprain from knocks and falls, swollen welling abscess and scrofula, scab and lichen with itching, poisonous snake bite.",,,,,HERB000198,,1336.0,,
HVM0099,白花丹参,BAI HUA DAN SHEN,Whiteflower Danshen,Salvia miltiorrhiza f. alba,,,root,See Salvia miltiorrhiza .,See Salvia miltiorrhiza.,,,,,HERB000199,,1022.0,,
HVM0100,白花甘西鼠尾草,BAI HUA GAN XI SHU WEI CAO,Radix Salviae Przewalskii Albae,,,,,,,,,,,HERB000201,,3249.0,,
HVM0101,百花蒿,BAI HUA HAO,,,,,,,,,,,,HERB000202,,3015.0,,
HVM0102,白花龙胆,BAI HUA LONG DAN,Alpine Gentian,Gentiana algida,,,whole herb with root,"To drain fire and resolve toxin, suppress cough, disinhibit damp.","Common cold with fever, lung heat cough, sore pharynx, red eyes, dribbling pain of urination, scrotal eczema.",,,,,HERB000204,,5626.0,,
HVM0103,白花前胡,BAI HUA QIAN HU,Whiteflower Hogfennel,Peucedanum praeruptorum,,,root,See Angelica decursiva .,See Angelica decursiva.,,,,,HERB000205,,6623.0,,
HVM0104,白花蛇,BAI HUA SHE,Bungarus Minimus,Bungarus Parvus,,,Bungarus multicinctus multicinctus Blyth.,"Treatment of rheumatism, especially the intractable cases and those with wandering arthralgia, numbness of the extremities and muscular spasm, also for apoplexy complicated by distortion of face and hemiplegia. Treatment of infantile convulsion, tetanus and convulsion after apoplexy. Treatment of itching induced by scabies, tinea infection and urticaria. Treatment of leprosy, scrofula, and aevere skin infections.","1. Analgesic, sedative. 2. Hypotensive owing to its vasodilative effect.",,"1. Analgesic, sedative. 2. Hypotensive owing to its vasodilative effect.",For dispelling wind-dampness,祛风湿,HERB000206,,2338.0,,900.0
HVM0105,白花射干,BAI HUA SHE GAN,Vesper Iris,Iris dichotoma,,,root or whole herb,"To clear heat and resolve toxin, quicken blood and disperse swelling, relieve pain, relieve cough.","Swelling pain in throat, gum swelling and pain, epidemic parotitis, mammary welling abscess, stomachache, hepatitis, liver spleen enlargement, lung heat cough, knocks and falls.",,,,,HERB000207,,1151.0,,
HVM0106,白花蛇舌草,BAI HUA SHE SHE CAO,all - grass of Spreading Hedyotis,Herba Hedyotis Diffusae,Cold; Sweet; Slightly Bitter,Large Intestine; Stomach; Small Intestine,whole herb with root,"1. To eliminate heat and toxic material, promote blood circulation and remove blood stasis. 2. To clear dampness-heat.","Lung heat cough asthma, swelling pain in throat, intestinal welling abscess, swelling of sores and boils, poisonous snake bite, heat strangury with inhibited pain, edema, dysentery, enteritis, damp-heat jaundice, carcinoma.",,"1. Its components coumarins, triterpenes, polysaccharide and (B)-sitosterol inhibit the growth of sarcoma180 and cervix carcinoma14 in vitro.2. Promoting white cell phagocytosis and humoral immunity.",Antipyretic Detoxicate Drugs,清热解毒药,HERB000208,SMHB00013,6341.0,13.0,22.0
HVM0107,白花水飞蓟,BAI HUA SHUI FEI JI,,,,,,,,,,,,HERB000209,,6151.0,,
HVM0108,白花夏枯草,BAI HUA XIA KU CAO,Dracoccephalum heterophyllum Benth,,,,,,,,,,,HERB000211,,1579.0,,
