HVPID,name,Prescription Composition,Instructions,Treatment Symptoms,Source Document
HVP0024,泻肝饮子,大黄1两，细辛1两，芒消1两，车前子1两，黄芩1两，桔梗1两，柴胡1两，知母1两。,,"旋螺尖起外障，眼初患之时，忽然疼痛，作时由热积壅毒留在肝间。[At the beginning of the disease, the eye suddenly ached, and the toxin remained in the liver due to the accumulation of heat.(Machine translation.)]",《秘传眼科龙木论》卷四。
HVP0025,芒消甘草汤,芒消、甘草。,,一切毒，在下者。[All poisons are under control.(Machine translation.)],《急救便方》。
HVP0026,温胰汤,吴茱萸10g，干姜6g，厚朴10g，枳壳10g，柴胡10g，川楝子12g，元胡15g，桃仁10g，红花10g，大黄10g（后下）。,,"老年体弱患慢性胰腺炎，病程较长而复发者，腹痛喜热喜按，大便结实，舌质暗淡，舌苔薄白，脉弦而细。[Elderly patients with chronic pancreatitis, long course of disease and recurrence, abdominal pain like heat like to press, stool firm, pale tongue, thin white tongue coating, pulse string and fine.(Machine translation.)]",《急腹症方药新解》。功效:疏肝理气，温中通下。
HVP0027,五神汤,茯苓1两，车前子1两，金银花3两，牛膝5钱，紫花地丁1两。,,"多骨痈，委中毒，足癣。[Carbuncle, poisoning, tinea pedis.(Machine translation.)]",《辨证录》卷十三。功效:利湿清热
HVP0028,水仙散,冰片1分，鳖甲（烧存性）2钱。,,下疳烂臭。[Chancre stinks.(Machine translation.)],《疡科选粹》卷四。
HVP0029,秘传豆黄丸,黑豆1斗。,,"湿痹膝痛，五脏不足，脾胃气结积滞。[Dampness arthralgia, knee pain, five viscera insufficiency, spleen and stomach qi stagnation.(Machine translation.)]",《惠直堂方》卷一。功效:壮气力，润肌肤，填骨髓，补虚损，开胃进食，令人肥健。
HVP0030,天冬膏,天门冬1斤（用水泡透），生地黄2斤（用水泡透）。,,风癫。[Wind epilepsy.(Machine translation.)],《良朋汇集》卷二。
HVP0031,太极丸,黄柏（去皮，盐、酒浸3日，微炒褐色，净末）3两6钱，知母（去毛，酒浸1宿，微炒，净末）2两4钱，破故纸（新瓦炒香，净末）2两8钱，胡桃仁（去皮，研烂）3两2钱，砂仁1两（分作2分，5钱生用，5钱同花椒1两炒香，去椒不用）。,,"肾虚，尿血。[Kidney deficiency, blood in urine.(Machine translation.)]",《扶寿精方》。功效:调和五脏，长生益寿。
HVP0032,冰芦膏,炉甘石（火煅）2两（为末），冰片2分。,,臁疮，及诸疮久远不收口者。[The patients who have long-standing sore and don't close their mouth.(Machine translation.)],《惠直堂方》卷三。
HVP0033,去邪如扫汤,王不留行5钱，泽泻3钱，白术3钱。,,"小便不通，膀胱气闭，面红耳赤，口渴烦躁。[Urinary obstruction, bladder gas closed, red face, thirst and irritability.(Machine translation.)]",《惠直堂方》卷二。
HVP0034,失心方,黄连2钱，郁金2钱。,,"癫痫，痰入心窍。[Epilepsy, phlegm into the heart.(Machine translation.)]",《惠直堂方》卷二。
HVP0035,逐狐汤,人参5钱，白术3钱，茯苓3钱，肉桂3分，橘核5分，白薇5分，荆芥1钱5分，半夏1钱，甘草5分。,,"狐疝。日则缩而痛，夜则出而安。[Fox hernia. The day shrinks with pain, and the night rises with peace.(Machine translation.)]",《惠直堂方》卷二。
HVP0036,五臌点眼方,麝香1钱，珍珠1钱。,,"脐翻，眼突无纹，六脉沉伏。[The umbilicus turns over, the eye process has no lines, and the six veins sink.(Machine translation.)]",《惠直堂方》卷二。
HVP0037,鸡子散,鸡蛋1个（连壳烧，研）。,,黄疸三十六症。[Thirty six cases of jaundice.(Machine translation.)],《惠直堂方》卷二。
HVP0038,鸡子散,人参1钱，白术1钱，茯苓1钱，甘草5分，木鳖子2钱。,,"小儿疳眼，生昏翳者。[Infantile malnutrition eye, birth faint Yi.(Machine translation.)]",《眼科锦囊》卷四。
HVP0039,助胆导水方,柴胡2钱，黄芩2钱，白芍5钱，车前5钱，茯神3钱，泽泻3钱，栀子3钱，苍术3钱。,,"肝胆虚弱，感湿成淋。[The liver and gallbladder are weak, and the dampness becomes drenching.(Machine translation.)]",《惠直堂方》卷二。
HVP0040,止啼汤,黄连2钱，甘草1钱。,,妊娠儿在腹中啼。[The pregnant baby is crying in the abdomen.(Machine translation.)],《惠直堂方》卷四。
HVP0041,缩舌散,朱砂。,,"产后舌出，及房欲后舌出不收。[Postpartum tongue, and sexual desire after the tongue does not close.(Machine translation.)]",《惠直堂方》卷四。
HVP0042,缩舌散,冰片2钱，朱砂3钱。,,舌长过寸。[The tongue is over an inch long.(Machine translation.)],《玉案》卷三。
HVP0043,理脾丸,陈皮1两，茯苓1两，山楂（半生半蒸）1两，白术（炒）2两，黄连（炒）5钱，芦荟（煅）5钱，炙甘草5钱。,,小儿疳。[Infantile malnutrition.(Machine translation.)],《惠直堂方》卷四。
HVP0044,蒲公英膏,蒲公英10数斤。,,"诸毒瘰疠，痘疮疔疮。[All kinds of toxic diseases, pimples and sores.(Machine translation.)]",《惠直堂方》卷四。
HVP0045,催乳散,漏芦1钱，通草1钱，贝母2钱，白芷1钱。,,乳汁不通。[Milk doesn't work.(Machine translation.)],《惠直堂方》卷四。功效:催乳。
HVP0046,护子汤,茯苓3钱，白术2钱，人参1钱，柴胡5分，桂枝2分。,,"小儿偶感风邪，发热身颤，手背反张。[Children occasionally feel wind evil, fever, body tremor, hand back stretch.(Machine translation.)]",《慈幼心书》卷九。
HVP0047,朱连散,雄黄半分，朱砂半分，黄连半分，乳香半分，冰片1厘，麝香1厘。,,小儿惊风退后，声哑不能言。[The child's convulsion subsided and his voice was mute.(Machine translation.)],《慈幼新书》卷七。
HVP0048,神黄散,大黄1两2钱，姜黄8钱，黄柏8钱，白及1两，赤芍7钱，花粉7钱，红花5钱，肉桂5钱。,,一切热毒红肿。[Everything is red and swollen.(Machine translation.)],《慈幼新书》卷七。功效:定痛内消。
HVP0049,立灵散,炉甘石1钱（打成小块，放银罐内，将火硝拌匀，用火煅红取出，研极细，飞过，复研，以细绝为度），冰片1分，麝香1分，熊胆2分，蕤仁3分（去油净）。,,目生翳膜。[The eye produces a pannus membrane.(Machine translation.)],《慈幼新书》卷二。
HVP0050,胭脂涂法,升麻1两，雄黄5分。,,"痘疮溃烂。中心落陷无水，犹是死肉，其形如钱。[Acne ulcers. In the center, there is no water, it is still dead flesh, and its shape is like money.(Machine translation.)]",《慈幼新书》卷六。功效:活血败毒。
HVP0051,斑蝥夺命丹,斑蝥7个（去头足），杏仁49粒，大黄5钱，白芷3分，甘草3分。,,疯狗咬伤。[Mad dog bites.(Machine translation.)],《慈幼新书》卷十一。
HVP0052,化痧宝花丸,郁金2两，细辛2两，降香5两，荆芥6两。,,"暑湿感凉，寒热凝滞，食水搏郁，痧毒闭闷，神势昏乱。[Heat dampness is cool, cold heat is stagnant, drinking water is depressed, Sha poison is closed and stuffy, and the spirit is confused.(Machine translation.)]",《慈禧光绪医方选义》。
HVP0053,一味秘精汤,分心木5钱（洗净）。,,"遗精，滑泄。[Spermatorrhea, slippery discharge.(Machine translation.)]",《慈禧光绪医方选议》。功效:固肾涩精。
HVP0054,安神代茶饮,龙齿3钱（煅），石菖蒲1钱。,,心经病。[Heart disease.(Machine translation.)],《慈禧光绪医方选议》。功效:宁心安神。
HVP0055,清热理脾除湿膏,茯苓5钱，陈皮4钱，白术4钱，薏米5钱（炒），山药3钱（炒），石斛5钱，麦冬4钱，焦三仙2钱，扁豆5钱（炒），茵陈4钱，菊花3钱，甘草2钱（生）。,,脾胃病。[Spleen and stomach disease.(Machine translation.)],《慈禧光绪医方选议》。功效:淡渗健脾，清热除湿。
HVP0056,朱砂莲心散,莲子心2钱（研细末）10包，朱砂1分（细面）10包。,,心经病。[Heart disease.(Machine translation.)],《慈禧光绪医方选议》。功效:清心安神。
HVP0057,疟丸,草乌头4两（去皮，开水泡14次，以碗盖良久，切片焙干）。,,疟疾。[Malaria.(Machine translation.)],《慈航集》卷下。
HVP0058,小柴胡加香薷汤,柴胡1钱，黄芩1钱2分，人参8分（另炖），半夏2钱，甘草5分，香薷1钱，藿香2钱，青蒿2钱。,,"暑疟初病，先伏热于内，寒暑伏于外，但热不寒，里实不泻，必无汗，烦渴而呕，肌肉消烁。[At the beginning of the disease, the heat is stored inside and the cold and heat are stored outside, but the heat is not cold, the interior is not diarrhea, there will be no sweat, vomiting due to thirst, and the muscles will disappear.(Machine translation.)]",《慈航集》卷下。
HVP0059,清心和疟饮,茯神5钱，麦冬3钱（去心），人参1钱，草蔻仁1钱（研），制半夏2钱，青皮1钱5分，柴胡5分，炙甘草5分。,,"手少阴心经之疟与手厥阴心包经之疟。初病心烦内热，欲得清水，饮之反寒多，外不甚热。[Malaria in the heart meridian of hand Shaoyin and pericardium meridian of hand Jueyin. At the beginning of the disease, I was upset and hot inside. If I want to get clear water, I drink more cold than hot outside.(Machine translation.)]",《慈航集》卷下。
HVP0060,三疟丸,草乌头4两（去皮，开水泡14次，以碗盖良久，切片，焙干）。,,"先寒后热，名曰寒疟；但寒不热，面色黑者，名曰厥疟；寒多热少，面黄腹痛，名曰脾疟：三证并宜治之。[First cold and then heat, called cold malaria; But cold is not hot, black face, known as Jue malaria; Cold more heat less, yellow face, abdominal pain, known as spleen malaria: three syndromes and appropriate treatment.(Machine translation.)]",《慈航集》卷下引苏东坡方。
HVP0061,延胡丸,延胡索1两，青皮1两（去白），陈皮1两（去白），木香1两，当归1两，雄黄1两，生姜1两，三棱1两。,,积聚。[Accumulation.(Machine translation.)],《慎斋遗书》卷八。
HVP0062,四妙丸,韭菜子4两（炒），菟丝子4两，牡蛎2两（煅，人乳淬），龙骨（煅）2两。,,精不固。[The essence is not solid.(Machine translation.)],《玉案》卷五。
HVP0063,四妙丸,苍术2两，白芍2两5钱，龟板（好酒炙酥）2两5钱，黄柏5钱（盐、酒拌炒）。,,鹤膝风。[The wind from the crane knee.(Machine translation.)],《疮疡经验全书》卷三。
HVP0064,敛肺汤,北五味3钱，黄芩2钱，麦冬3钱，甘草节5分。,,"疹收之后，喘急闷乱，头折眼吊，胸膛高陷，角弓反张，目睛直视，唇白面黄，口鼻歪斜，名曰肺气耗散，正气不归原也。[After the rash is closed, the patient is in a state of dyspnea and dyspnea. His head is bent and his eyes are hanging. His chest is high and sunken. His eyes are straight. His lips are white and his face is yellow. His mouth and nose are askew.(Machine translation.)]",《杂病源流犀烛》卷二。
HVP0065,四制川楝丸,川楝子（去核）1斤（分四份：1盐炒，去盐；1破故纸1两炒，俱用；1斑蝥1个去翅足炒，去斑蝥；1小茴香6钱，同盐炒，去盐，并用茴香）。,,疝。[Hernia.(Machine translation.)],《扶寿精方》。
HVP0066,加味宁志丸,白茯苓（去皮）、人参、远志（甘草煎汤，浸软去木）、菖蒲（寸九节者，米泔浸）、黄连（去毛）、酸枣仁（水浸，去红皮）、柏子仁（如法去壳）1两，当归（酒洗）8钱，生地黄（酒洗）8钱，木香4钱（不用火），朱砂（研，水飞）1两2钱（半入药，半为衣）。,,"虚惫精神恍惚，心思昏愦，气不足，健忘怔忡。[Empty tired, in a trance, in a daze, lack of Qi, forgetful.(Machine translation.)]",《扶寿精方》。
HVP0067,柴平散,柴胡3钱，白术3钱，人参3钱，半夏3钱，甘草1钱，苍术3钱。,,疟疾。[Malaria.(Machine translation.)],《扶寿精方》。
HVP0068,柴胡栀子豉汤,柴胡3钱，半夏1钱5分，黄芩2钱，人参8分，甘草3分，栀子1钱半，豆豉1大合。,,"伤寒热退身凉，因过食复发热，烦躁口干，胸膈满闷，夜卧不宁。[Typhoid fever subsides and the body is cool. Due to overeating, the body becomes feverish again. The mouth is restless and dry. The chest diaphragm is full and stuffy, and the night is restless.(Machine translation.)]",《扶寿精方》。
HVP0069,撮合山,五倍子（炒）、绛真香（炒）。,,疮疡皮肉不生，久不合口。[The skin and flesh of a sore are not raw and do not fit for a long time.(Machine translation.)],《扶寿精方》。
HVP0070,三乌追风散,川乌、草乌（各以火炮，水淬去毒）、何首乌、石菖蒲、甘草。,,诸疮惹风者。[All sores provoke the wind.(Machine translation.)],《扶寿精方》。
HVP0071,柴胡六君子汤,柴胡2钱，黄芩1钱5分，半夏1钱，茯苓1钱，甘草3分，人参8分，白术1钱，陈皮1钱半，枳壳（炒）1钱。,,"伤寒热解，平复后，或劳碌过食，复作大热。[Typhoid fever pyrolyses, after calming down, or labors excessively eats, makes the great heat again.(Machine translation.)]",《扶寿精方》。
HVP0072,乌发固齿方,旱莲草1斤（连根，7月取）。,,No Data.[无数据],《扶寿精方》。功效:乌发，固齿。
HVP0073,少阳丹,苍术（乃天之精也。米泔浸半日，先刮去皮，晒干，捣罗细末）1斤，地骨皮（乃地之精也。温水洗，捶打遍，去心，晒干，捣罗细末）1斤，桑椹（乃人之精也。用黑熟者）20斤（入瓷盆内揉烂，绢袋内榨汁，去滓）。,,No Data.[无数据],《扶寿精方》。功效:服至1年，发白返黑；3年面有童颜，寿年无算。健脾去湿，息火消痰，久服身轻。
HVP0074,女圣丸,香附（杵毛净）1斤（4两，盐水加姜汁浸透煮熟捣，微炒；4两，醋浸透，煮熟微炒；4两，栀子仁同炒，去栀子仁；4两，童便洗，生用）。,,气盛经闭。[Qi is abundant and meridian is closed.(Machine translation.)],《扶寿精方》。功效:降火，解女人郁怒之偏。
HVP0075,杨梅散,杨梅。,,头风。[Head wind.(Machine translation.)],《普济方》卷四十六引《海上方》。
HVP0076,茴香酒,茴香、樟脑、红花。,,折伤。[It's broken.(Machine translation.)],《接骨图说》。功效:接骨。
HVP0077,茴香酒,茴香（炒，研）。,,膀胱偏坠，久不愈者。[The bladder falls and does not heal for a long time.(Machine translation.)],《朱氏集验方》卷三。
HVP0078,调元散,人参1钱，白术1钱，陈皮1钱，厚朴（制）1钱，香附1钱，炙甘草5分，藿香5分。,,"小儿变蒸，脾弱不乳，吐乳多啼。[Children become steamed, spleen weak not milk, spit milk more cry.(Machine translation.)]",《景岳全书》卷六十二。
HVP0079,治破伤风散,苍术（火烧）、草乌。,,破伤风。[tetanus.(Machine translation.)],《摄生众妙方》卷九。
HVP0080,还童丹,熟地黄（酒拌蒸，临时杵成膏，忌铁）5两，牛膝（去芦，酒洗）4两，黄耆（破开，蜜水拦透炙）4两，五味子（去核）2两，覆盆子4两，地骨皮（去骨）4两，白茯苓（去皮）4两，白蒺藜（另杵，净，炒）4两，桃仁（去皮尖）4两，胡桃仁（温水浸，去皮）5两，菟丝子5两（先用水洗净，次用好酒拌，浸透半湿时件成饼，焙干，为末）。,,"肾水不足，髭须苍白，眼目昏花，腰腿疼痛。[The kidney is short of water, the moustache is pale, the eyes are dim, and the waist and legs ache.(Machine translation.)]",《摄生众妙方》卷二。功效:固精壮阳。
HVP0081,仙人饭,黄精。,,No Data.[无数据],《摄生众妙方》卷二。功效:补中益气，安五脏，润心肺，轻身延年。
HVP0082,当归地黄膏,当归1斤，生地黄1斤。,,"血少生疮疡，肤燥痒，自汗遗精。[Less blood, sore, itchy skin, sweating and spermatorrhea.(Machine translation.)]",《摄生众妙方》卷二。功效:补养。
HVP0083,猪肚朴脾丸,山楂4两，当归4两，白术6两，橘红1两5钱，人参3两，山药2两。,,No Data.[无数据],《摄生众妙方》卷五。功效:补脾。
HVP0084,安胎如圣丹,鲤鱼1个。,,胎气动。[Fetal pneumatosis.(Machine translation.)],《摄生众妙方》卷十。
HVP0085,丝瓜汤,丝瓜（连皮）。,,No Data.[无数据],《直指小儿》卷五。功效:发疮疹最妙。
HVP0086,调中平胃丸,人参5钱，黄耆（蜜炙）2两，陈皮2两，甘草（蜜炙）1两，苍术（酒浸炒）1两，厚朴（姜汁炒）1两，木香1两。,,脾胃虚弱，中气不调。[The spleen and stomach are weak and the middle Qi is not regulated.(Machine translation.)],《摄生秘剖》卷二。
HVP0087,参归化毒汤,人参、当归、赤芍、黄耆、桂枝、白术、炙甘草。,,"痘疮搔痒不住，元气虚弱而吐泻者。[Acne itching can not live, weak vitality and vomiting and diarrhea.(Machine translation.)]",《片玉痘疹》卷九。
HVP0088,五味子蜜丸,北五味子（陕西产，烘干或阴干）。,,传染性肝炎。[Infectious hepatitis.(Machine translation.)],《新医药学杂志》(1973；9)。功效:降转氨酶，改善肝功能。
HVP0089,清胆利湿汤,木香3钱，郁金3钱，柴胡3-5钱，黄芩3钱，木通3钱，栀子3钱，车前子3钱，茵陈5钱，大黄3钱，半夏3钱。,,湿热型胆系感染。[Damp heat type of biliary tract infection.(Machine translation.)],《新急腹症学》。
HVP0090,溃疡丸Ⅲ号,乌贼骨5钱，川楝子3钱，元胡3钱，桃仁2钱，蒲黄1钱，赤芍3钱。,,血瘀气滞型溃疡病。[Ulcer of blood stasis and qi stagnation type.(Machine translation.)],《新急腹症学》。
HVP0091,肠功能恢复汤,党参3钱，白术3钱，桃仁3钱，赤芍3钱，枳壳3钱，厚朴3钱，木香3钱，火麻仁1两，大黄5钱（后下）。,,"急腹症手术后，病人一般情况良好，脱水、电解质紊乱及低蛋白血症不显著，手术操作顺利，腹腔污染较轻而不使用胃肠减压、不禁止饮食者。[After the operation of acute abdomen, the patient was in good condition, dehydration, electrolyte disorder and hypoproteinemia were not significant, the operation was smooth, the abdominal cavity pollution was light, and no gastrointestinal decompression and no diet were forbidden.(Machine translation.)]",《新急腹症学》。
HVP0092,溃疡丸Ⅰ号,乌贼骨6钱，甘草5钱，干姜5钱，吴茱萸5钱，砂仁5钱，乌药3钱，元胡3钱，肉桂1钱。,,脾胃虚寒型溃疡病。[Ulcer of spleen stomach deficiency cold type.(Machine translation.)],《新急腹症学》。
HVP0093,阑尾清解汤,金银花60g，大黄25g，蒲公英30g，冬瓜仁30g，牡丹皮15g，川楝子10g，生甘草10g，木香6g。,,"急性阑尾炎热毒期，发热恶寒，面红目赤，唇干舌燥，口渴欲饮，恶心呕吐，腹痛拒按，腹肌紧张，有反跳痛，大便秘结，舌质红，苔黄燥或黄腻，脉洪大滑数。[Acute appendicitis heat toxic period, fever aversion to cold, red face, dry lips, thirst, nausea and vomiting, abdominal pain refused to press, abdominal muscle tension, rebound pain, constipation, red tongue, yellow or greasy fur, pulse large slippery number.(Machine translation.)]",《新急腹症学》。功效:清热解毒，攻下散结，行气活血。
HVP0094,阑尾化瘀汤,川楝子15g，金银花15g，延胡索9g，牡丹皮9g，桃仁9g，大黄（后下）9g，木香9g。,,"瘀滞型阑尾炎初期，发热，腹痛，右下腹局限性压痛，反跳痛；或阑尾炎症消散后，热象不显著，而见脘腹胀闷，嗳气纳呆。[In the early stage of stasis type appendicitis, fever, abdominal pain, local tenderness in the right lower abdomen, rebound pain; Or appendicitis dissipated, the heat is not significant, and see abdominal distension, belching.(Machine translation.)]",《新急腹症学》。功效:行气活血，清热解毒。
HVP0095,利胆丸,茵陈4钱，龙胆草3钱，郁金3钱，木香3钱，枳壳3钱。,,"胆囊炎、胆石症。[Cholecystitis, cholelithiasis.(Machine translation.)]",《新急腹症学》引中医研究院方。
HVP0096,胆道排石汤Ⅲ号,枳壳3钱，青皮3钱，木香3钱，黄芩3钱，柴胡3钱，茵陈10钱，陈皮2钱，白术4钱。,,"胆系感染、胆石症气郁型。[Bile system infection, cholelithiasis, qi depression type.(Machine translation.)]",《新急腹症学》引遵义医学院方。
HVP0097,胆道排石汤Ⅳ号,枳壳3钱，木香4钱，黄芩3钱，虎杖5钱。,,"胆系感染、胆石症湿热型。[Biliary infection, cholelithiasis, damp heat type.(Machine translation.)]",《新急腹症学》引遵义医学院方。
HVP0098,胆道排石汤Ⅱ号,黄连2钱，黄芩3钱，枳壳3钱，木香3钱，大黄2钱。,,"胆系感染、胆石症湿热型。[Biliary infection, cholelithiasis, damp heat type.(Machine translation.)]",《新急腹症学》引遵义医学院方。
HVP0099,胆道排石汤Ⅱ号,双花1两，连翘1两，金钱草1两，茵陈1两，郁金1两，木香6钱，黄芩4钱，枳实4钱，大黄1两，芒消2钱。,,"胆道系统感染、胆石症湿热性或脓毒型。[Biliary tract infection, cholelithiasis, damp heat or sepsis.(Machine translation.)]",《新急腹症学》引青岛市立医院方。
HVP0100,芥子散,芥子2两。,,"妇人经脉不行至一年者，脐腹痛，腰腿沉重，寒热往来。[If the woman's meridians do not work for more than a year, she will suffer from navel and abdominal pain, heavy waist and legs, and frequent cold and heat.(Machine translation.)]",《普济方》卷三三三引《仁存方》。
HVP0101,黄连石膏汤,黄连、黄芩、知母、石膏、甘草。,,吐血。[Vomit blood.(Machine translation.)],《方症会要》卷三。
HVP0102,独黄散,大黄（酒炒）。,,眩晕不可当。[Dizziness can't be taken for granted.(Machine translation.)],《方症会要》卷三。
HVP0103,独黄散,硫黄（研细）。,,紫癜风。[Purpura.(Machine translation.)],《杨氏家藏方》卷十二。
HVP0104,吴萸天水散,滑石6两，吴茱萸7钱，甘草1两。,,湿热吞酸。[Hot and humid.(Machine translation.)],《方症会要》卷二。
HVP0105,四制白术散,白术1斤（米泔水浸软，咀片，分作4份，1份用白豆蔻仁炒，1份用破故纸炒，1份用五味子炒，俱以炒干为度，拣去同炒药）。,,脾泄。[Spleen discharge.(Machine translation.)],《方症会要》卷二。
HVP0106,乳香汤,大黄1两，甘草1两，乳香1字。,,"时疫疙瘩，喉咽肿痛。[Epidemic disease, swelling and pain of larynx and pharynx.(Machine translation.)]",《施圆端效方》引于四嫂方（见《医方类聚》卷一七九）。
HVP0107,丹参饮,丹参1两，檀香1钱，砂仁1钱。,,"心痛，胃脘诸痛。[Heartache, epigastric pain.(Machine translation.)]",《时方歌括》卷下。
